name,cpu,cpu_cores,cpu_threads,cpu_benchmark,ram,ram_gb,storage,storage_gb,nvme,bandwidth,location,country,country_code,price_monthly,currency,price_usd,url
Intel Xeon E3-1220 3.1GHz 4 cores,Intel Xeon E3-1220 3.1GHz 4 cores,4,4,,32 GB DDR3,32,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,38,EUR,47.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-31ghz-4-cores-paris-fr-3/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v5 3.5GHz 4 cores,Intel Xeon E3-1245 v5 3.5GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,5 TB @ 1 Gbps,"Singapore, SG",Singapore,SG,38,EUR,47.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-singapore-sg/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v5 3.5GHz 4 cores,Intel Xeon E3-1245 v5 3.5GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,5 TB @ 1 Gbps,"Sydney, AU",Australia,AU,38,EUR,47.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-sydney-au/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1270 v6 3.8GHz 4 cores,Intel Xeon E3-1270 v6 3.8GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,5 TB @ 1 Gbps,"Singapore, SG",Singapore,SG,38,EUR,47.0,https://valebyte.com/en/servers/intel-xeon-e3-1270-v6-38ghz-4-cores-singapore-sg/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1270 v6 3.8GHz 4 cores,Intel Xeon E3-1270 v6 3.8GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,5 TB @ 1 Gbps,"Sydney, AU",Australia,AU,39,EUR,48.0,https://valebyte.com/en/servers/intel-xeon-e3-1270-v6-38ghz-4-cores-sydney-au/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1245 v5 3.5GHz 4 cores,Intel Xeon E3-1245 v5 3.5GHz 4 cores,4,8,,32 GB DDR4,32,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Montreal, CA",Canada,CA,39,EUR,48.0,https://valebyte.com/en/servers/intel-xeon-e3-1245-v5-35ghz-4-cores-montreal-ca/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
i7-7700 K,i7-7700 K,4,8,,32GB,32,1 TB (HDD),1000,False,Unmetered @ 1 Gbps,"Dallas, US",United States,US,51,USD,51.0,https://valebyte.com/en/servers/i7-7700-k-dallas-us/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1240 v3 3.4GHz 4 cores,Intel Xeon E3-1240 v3 3.4GHz 4 cores,4,8,,32 GB DDR3,32,2x 3 TB (HDD SATA),6000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,41,EUR,51.0,https://valebyte.com/en/servers/intel-xeon-e3-1240-v3-34ghz-4-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1230 v2 3.3GHz 4 cores,Intel Xeon E3-1230 v2 3.3GHz 4 cores,4,8,,32 GB DDR3,32,2x 1 TB (SSD SATA),2000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,41,EUR,51.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v2-33ghz-4-cores-paris-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E-2274G,Intel Xeon E-2274G,4,8,,32 GB DDR4 ECC,32,3x 1.92 TB (NVME SoftRAID),5760,True,Unmetered @ 500 Mbps,"Beauharnois, CA",Canada,CA,43,EUR,53.0,https://valebyte.com/en/servers/intel-xeon-e-2274g-beauharnois-ca/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1220 3.1GHz 4 cores,Intel Xeon E3-1220 3.1GHz 4 cores,4,4,,8 GB DDR3,8,3x 4 TB (HDD SATA),12000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,43,EUR,53.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-31ghz-4-cores-paris-fr-4/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
AMD Ryzen 7 1700X 3.4GHz 8 cores,AMD Ryzen 7 1700X 3.4GHz 8 cores,8,16,,32 GB DDR4,32,2x 1 TB (HDD SATA),2000,False,Unmetered @ 1 Gbps,"Dusseldorf, DE",Germany,DE,43,EUR,53.0,https://valebyte.com/en/servers/amd-ryzen-7-1700x-34ghz-8-cores-dusseldorf-de/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1230 v2 3.3GHz 4 cores,Intel Xeon E3-1230 v2 3.3GHz 4 cores,4,8,,32 GB DDR3,32,2x 1 TB (SSD SATA),2000,False,Unmetered @ 1 Gbps,"Warsaw, PL",Poland,PL,43,EUR,53.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v2-33ghz-4-cores-warsaw-pl/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1230 v2 3.3GHz 4 cores,Intel Xeon E3-1230 v2 3.3GHz 4 cores,4,8,,32 GB DDR3,32,2x 1 TB (SSD SATA),2000,False,Unmetered @ 1 Gbps,"Amsterdam, NL",Netherlands,NL,43,EUR,53.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v2-33ghz-4-cores-amsterdam-nl/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1230 v6 3.5GHz 4 cores,Intel Xeon E3-1230 v6 3.5GHz 4 cores,4,8,,16 GB DDR4,16,1 TB (HDD SATA),1000,False,Unmetered @ 1 Gbps,"Barcelona, ES",Spain,ES,43,EUR,53.0,https://valebyte.com/en/servers/intel-xeon-e3-1230-v6-35ghz-4-cores-barcelona-es/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon D-1531 2.20GHz 6 cores,Intel Xeon D-1531 2.20GHz 6 cores,6,12,7967,32 GB DDR4,32,2 x 250 GB (SATA SSD),500,False,Unmetered @ 300 Mbps,"Paris, FR",France,FR,44,EUR,54.0,https://valebyte.com/en/servers/intel-xeon-d-1531-2-20ghz-6-32gb-500gb-paris-fr-536499/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3 1220 or equivalent 3.10GHz 4 cores,Intel Xeon E3 1220 or equivalent 3.10GHz 4 cores,4,4,3895,32 GB DDR3,32,2 x 1.02 TB (SSD),2040,False,Unmetered @ 500 Mbps,"Paris, FR",France,FR,44,EUR,54.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-or-equivalent-3-10ghz-4-32gb-2048gb-paris-fr-29fbce/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3 1220 or equivalent 3.10GHz 4 cores,Intel Xeon E3 1220 or equivalent 3.10GHz 4 cores,4,4,3895,32 GB DDR3,32,2 x 1.02 TB (SSD),2040,False,Unmetered @ 500 Mbps,"Warsaw, PL",Poland,PL,44,EUR,54.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-or-equivalent-3-10ghz-4-32gb-2048gb-warsaw-pl-188284/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3 1220 or equivalent 3.10GHz 4 cores,Intel Xeon E3 1220 or equivalent 3.10GHz 4 cores,4,4,3895,32 GB DDR3,32,2 x 1.02 TB (SSD),2040,False,Unmetered @ 500 Mbps,"Amsterdam, NL",Netherlands,NL,44,EUR,54.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-or-equivalent-3-10ghz-4-32gb-2048gb-amsterdam-nl-d656b9/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1240 v6 3.7GHz 4 cores,Intel Xeon E3-1240 v6 3.7GHz 4 cores,4,8,,32 GB DDR3,32,2x 256 GB (SSD SATA),512,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,44,EUR,54.0,https://valebyte.com/en/servers/intel-xeon-e3-1240-v6-37ghz-4-cores-paris-fr-1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E3-1270 v5,E3-1270 v5,,8,,16GB,16,1 TB (HDD),1000,False,Unmetered @ 1 Gbps,"Dallas, US",United States,US,55,USD,55.0,https://valebyte.com/en/servers/e3-1270-v5-dallas-us/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E3-1270 v5,E3-1270 v5,,8,,16GB,16,1 TB (HDD),1000,False,Unmetered @ 1 Gbps,"Ashburn, US",United States,US,55,USD,55.0,https://valebyte.com/en/servers/e3-1270-v5-ashburn-us/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1240 v5 3.5GHz 4 cores,Intel Xeon E3-1240 v5 3.5GHz 4 cores,4,8,,32 GB DDR4,32,2x 240 GB (SSD SATA),480,False,Unmetered @ 1 Gbps,"Dusseldorf, DE",Germany,DE,46,EUR,57.0,https://valebyte.com/en/servers/intel-xeon-e3-1240-v5-35ghz-4-cores-dusseldorf-de/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Core i7 7700K 4.2GHz 4 cores,Intel Core i7 7700K 4.2GHz 4 cores,4,8,,64 GB DDR4,64,2x 450 GB + 4 TB (NVME Hybrid SoftRAID),4900,True,Unmetered @ 500 Mbps,"Sydney, AU",Australia,AU,46,EUR,57.0,https://valebyte.com/en/servers/intel-core-i7-7700k-42ghz-4-cores-sydney-au/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E5-1410 v2 2.8GHz 4 cores,Intel Xeon E5-1410 v2 2.8GHz 4 cores,4,8,,64 GB DDR3,64,2x 2 TB (HDD SATA),4000,False,Unmetered @ 1 Gbps,"Paris, FR",France,FR,46,EUR,57.0,https://valebyte.com/en/servers/intel-xeon-e5-1410-v2-28ghz-4-cores-paris-fr/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3-1270 v3 3.5GHz 4 cores,Intel Xeon E3-1270 v3 3.5GHz 4 cores,4,8,,32 GB DDR3,32,2x 1 TB (HDD SATA),2000,False,Unmetered @ 1 Gbps,"Dusseldorf, DE",Germany,DE,46,EUR,57.0,https://valebyte.com/en/servers/intel-xeon-e3-1270-v3-35ghz-4-cores-dusseldorf-de/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
E3-1270 v6,E3-1270 v6,,8,,16GB,16,250 GB (SSD),250,False,Unmetered @ 1 Gbps,"Barcelona, ES",Spain,ES,58,USD,58.0,https://valebyte.com/en/servers/e3-1270-v6-barcelona-es/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
Intel Xeon E3 1220 3.10GHz 4 cores,Intel Xeon E3 1220 3.10GHz 4 cores,4,4,3738,32 GB DDR3,32,2 x 4 TB (HDD SATA),8000,False,Unmetered @ 150 Mbps,"Paris, FR",France,FR,47,EUR,58.0,https://valebyte.com/en/servers/intel-xeon-e3-1220-3-10ghz-4-32gb-8000gb-paris-fr-9ae4a1/?utm_source=github&utm_medium=dataset&utm_campaign=dedicated-server-prices
